Class,Support (test),Precision,Recall,F1
Dab Bnp Paribas,0,0.0,0.0,0.0
Kiabi,0,0.0,0.0,0.0
Canva,0,0.0,0.0,0.0
Carrefour,0,0.0,0.0,0.0
Carrefour Market,0,0.0,0.0,0.0
Hyper U,0,0.0,0.0,0.0
Casino,0,0.0,0.0,0.0
Ulys Telepeage,0,0.0,0.0,0.0
Castorama,0,0.0,0.0,0.0
Dab Credit Mutuel,0,0.0,0.0,0.0
Dab Hsbc,0,0.0,0.0,0.0
Vinci Autoroutes,0,0.0,0.0,0.0
Ikea,2,0.0,0.0,0.0
Cinema Gaumont,0,0.0,0.0,0.0
Xbox,0,0.0,0.0,0.0
H&M,1,0.0,0.0,0.0
Zara,0,0.0,0.0,0.0
Dab Societe Generale,0,0.0,0.0,0.0
Adobe,0,0.0,0.0,0.0
Izi By Edf,0,0.0,0.0,0.0
G7 Taxi,0,0.0,0.0,0.0
Intermarche,0,0.0,0.0,0.0
Aldi,3,0.0,0.0,0.0
Jules,0,0.0,0.0,0.0
Go Sport,0,0.0,0.0,0.0
Allianz,0,0.0,0.0,0.0
Commission Intervention,0,0.0,0.0,0.0
Direct Assurance,0,0.0,0.0,0.0
Five Guys,0,0.0,0.0,0.0
Cora,2,0.0,0.0,0.0
Disneyland Paris,0,0.0,0.0,0.0
Flixbus,0,0.0,0.0,0.0
Courtepaille,0,0.0,0.0,0.0
Bouygues Telecom,0,0.0,0.0,0.0
Dominos Pizza,0,0.0,0.0,0.0
Dab Banque Populaire,0,0.0,0.0,0.0
Google One,0,0.0,0.0,0.0
E.Leclerc,0,0.0,0.0,0.0
Brioche Doree,0,0.0,0.0,0.0
Buffalo Grill,1,0.0,0.0,0.0
Burger King,0,0.0,0.0,0.0
But,2,0.0,0.0,0.0
Caf,0,0.0,0.0,0.0
Cafe De La Gare,0,0.0,0.0,0.0
Camaieu,0,0.0,0.0,0.0
La Croissanterie,0,0.0,0.0,0.0
Le Figaro Premium,0,0.0,0.0,0.0
Le Monde Abonnement,0,0.0,0.0,0.0
Leboncoin,0,0.0,0.0,0.0
Leroy Merlin,0,0.0,0.0,0.0
Luko,0,0.0,0.0,0.0
Maif,3,0.0,0.0,0.0
Maison Pradier,0,0.0,0.0,0.0
Marche U,0,0.0,0.0,0.0
Materiel Net,0,0.0,0.0,0.0
Matmut,0,0.0,0.0,0.0
Mezzo Di Pasta,0,0.0,0.0,0.0
Midas,0,0.0,0.0,0.0
Mk2,0,0.0,0.0,0.0
Molotov,0,0.0,0.0,0.0
Monoprix,0,0.0,0.0,0.0
Neoness,0,0.0,0.0,0.0
Nocibe,0,0.0,0.0,0.0
Nordvpn,0,0.0,0.0,0.0
Ocs,0,0.0,0.0,0.0
Parapharmacie,0,0.0,0.0,0.0
Parc Asterix,0,0.0,0.0,0.0
Parking Indigo,0,0.0,0.0,0.0
Pathe Cinema,0,0.0,0.0,0.0
